('HSII', 0.0153)
('MCRI', 0.0153)
('RS', 0.0153)
('SHYF', 0.0153)
('FNWD', 0.0154)
('LVS', 0.0155)
('CBNK', 0.0156)
('ELV', 0.015700001)
('FLS', 0.015700001)
('GNTX', 0.015700001)
('OTIS', 0.015700001)
('SMBC', 0.015700001)
('SPNS', 0.015700001)
('WTFC', 0.015700001)
('CBT', 0.015800001)
('SCVL', 0.015800001)
('TMUS', 0.015800001)
('BEKE', 0.0159)
('G', 0.0159)
('WLK', 0.0159)
('ADEA', 0.016)
('CX', 0.016)
('FERG', 0.016)
('AU', 0.0161)
('CTSH', 0.0161)
('HMY', 0.0161)
('MRO', 0.0161)
('RPM', 0.0161)
('ASTE', 0.0162)
('BDX', 0.0162)
('FIS', 0.0162)
('HLN', 0.0162)
('IFF', 0.0162)
('MGYR', 0.0162)
('YMM', 0.0162)
('ADI', 0.0163)
('DLB', 0.0163)
('NOC', 0.0163)
('RELX', 0.0163)
('SF', 0.0163)
('STEP', 0.0163)
('ATEN', 0.0164)
('BCML', 0.0164)
('MTH', 0.0164)
('SIGI', 0.0164)
('TKR', 0.0164)
('ALB', 0.0165)
('GIL', 0.0165)
('LOGI', 0.0165)
('MGRC', 0.0165)
('TSCO', 0.0165)
('VOXR', 0.0165)
('BBD', 0.0166)
('BFH', 0.0166)
('LEG', 0.0166)
('OVLY', 0.0166)
('RGA', 0.0166)
('BBDO', 0.0167)
('BR', 0.0167)
('HTHT', 0.0167)
('RL', 0.0167)
('ANDE', 0.0168)
('DNB', 0.0168)
('GATX', 0.0168)
('RVSB', 0.016900001)
('RYAAY', 0.016900001)
('TAC', 0.016900001)
('WH', 0.016900001)
('ABM', 0.017)
('BANF', 0.017)
('NXPI', 0.017)
('VCIG', 0.017)
('WS', 0.017)
('ACN', 0.0171)
('AVY', 0.0171)
('EPC', 0.0171)
('FRBA', 0.0171)
('TRV', 0.0171)
('VFC', 0.0171)
('ZGN', 0.0171)
('AMTB', 0.0172)
('CBSH', 0.0172)
('KNOP', 0.0172)
('WSM', 0.0172)
('ATAT', 0.0173)
('FUSB', 0.0173)
('HBB', 0.0173)
('OBT', 0.0173)
('TEL', 0.0173)
('KRO', 0.0174)
('PAAS', 0.0174)
('RELL', 0.0174)
('SBAC', 0.0174)
('SBS', 0.0174)
('STZ', 0.0174)
('ZEUS', 0.0174)
('WOR', 0.0175)
('BERY', 0.0176)
('KLIC', 0.0176)
('LOW', 0.0176)
('NOA', 0.0176)
('CI', 0.0177)
('EQT', 0.0177)
('GEN', 0.0177)
